Frame,Frame Time (ms),Render Time (ms),Game Time (ms),GPU Time (ms)
0,25.86,30.44,14.14,27.5
1,29.39,6.15,27.93,29.52
2,35.93,28.8,28.86,30.38
3,17.65,6.93,19.56,27.2
4,33.85,6.64,15.28,28.5
5,22.32,16.63,13.63,27.69
6,26.13,11.66,19.33,25.98
7,25.68,6.23,16.9,25.8
8,37.7,3.97,22.8,30.48
9,27.39,26.04,21.56,31.42
10,32.96,9.61,27.49,31.34
11,47.49,27.19,34.61,30.58
12,46.86,20.14,18.54,28.28
13,15,15.26,18.26,31.62
14,14.25,19.92,9.33,37.87
15,33.77,3.41,15.74,26.99
16,37.45,3.89,20.33,32.83
17,43.58,50.23,34.86,30.98
18,42.97,20.35,22.69,33.01
19,45.51,53.47,18.52,30.8
20,20.01,14.87,15.5,55.72
21,17.91,2.96,16.75,55.72
22,31.46,5.67,17.85,30.91
23,25.94,5.13,18.63,26.26
24,28.77,13.26,15.31,28.45
25,42.33,2.58,29.33,30.1
26,15.68,8.66,19.62,28.29
27,31.29,5.93,15.31,28.76
28,28.04,30.09,16.33,29.88
29,74.07,9.56,16.98,31.27
30,31.97,30.01,19,37.28
31,28.95,11.26,25.79,51.01
32,23.03,5.9,15.22,31.77
33,20.46,4.98,20.56,26.91
34,42.06,24.03,40.61,29.7
35,23.68,13.2,14.68,30.91
36,37.05,4.53,27.03,31.94
37,16.02,0.03,20.85,31.94
38,25.78,2.21,12.44,25.2
39,24.8,8.02,15.35,25.33
40,25.12,2.18,15.59,25.08
41,57.54,27.08,15.84,25.13
42,24.63,27.08,14.91,25.13
43,29.52,19.55,29.3,30.97
44,16.88,19.66,19.14,33.93
45,16.34,1.71,11.53,28.72
46,28.51,1.26,15.16,28.55
47,29.18,9.58,22.14,29.13
48,29.22,2.68,14.84,29.24
49,42.94,30.2,15.88,30.21
50,24.14,17.94,17.34,32.49
51,33.49,28.27,28.85,31.15
52,25.61,24.06,19.34,32.3
53,30.48,12.99,22.08,30.41
54,56.19,0.98,30.04,30.41
55,21.35,26.53,22.59,31.68
56,24.71,9,25.2,31.94
57,32.16,4.13,24.47,29.06
58,40,0.22,13.12,32.48
59,14.71,6.63,26.42,30.59
60,29.02,5.62,16.26,28.51
61,31.15,2.08,17.81,29.19
62,32.89,5.53,13.35,29.19
63,69.03,7.2,28.16,32.55
64,31.44,25.04,23.16,33.74
65,41.94,23.55,35.57,41.04
66,16.45,23.54,22.39,35.43
67,84.31,21.52,89.01,34.02
68,14.95,16.85,8.67,66.09
69,21.98,3.43,15.54,34.4
70,34.98,3.27,20.91,31.44
71,19.68,9.46,25.48,29.71
72,27.96,5.54,15.62,27.86
